Код пред­прия­тия,Название пред­прия­тия,Краткое название пред­прия­тия
213,"Сервисное отделение ""Вяземская"" сервисного локомотивного депо ""Дальневосточное"" филиала ""Дальневосточный"" общества с ограниченной ответственностью ""ТМХ-Сервис""","СО Вяземская СЛД ""Дальневосточное"" ООО ""ТМХ-Сервис"
216,Кустарёвский ремонтно-механический завод,Кустарёвский РМЗ
217,"Общество с ограниченной ответственностью ""Производственная компания ""Новочеркасский электровозостроительный завод""","ООО ""ПК ""НЭВЗ"""
218,"Челябинский электровозоремонтный завод - филиал Акционерного общества ""Желдорреммаш""","Челябинский ЭРЗ АО ""Желдорреммаш"""
219,"Акционерное общество ""Электровозостроитель""","АО ""Электровозостроитель"" г. Тбилиси"
220,"Акционерное общество ""Акмолинский вагоноремонтный завод""","АО ""АВРЗ"""
221,Локомотивное депо Шепетовка,Шепетовка-ТЧ
222,Вагонное (эксплуатационное) депо Джульфа,Джульфа ВЧДЭ
223,"Участок по ремонту грузовых вагонов ст. Суховская-Южная вагонного ремонтного депо Иркутск-Сортировочный - обособленное структурное подразделение акционерного общества ""Вагонная ремонтная компания-2""","Участок Суховская-Южная АО ""ВРК-2"""
225,"Сервисное локомотивное депо ""Ожерелье"" филиала ""Московский"" Общества с ограниченной ответственностью ""ТМХ-Сервис""","СЛД ""Ожерелье"" филиала ""Московский"" ООО ""ТМХ-Сервис"""
227,Локомотивное депо Ашгабат,Ашгабат-ТЧ
231,"Вагонное ремонтное депо Вихоревка - обособленное структурное подразделение акционерного общества ""Вагонная ремонтная компания-3""","ВЧДр Вихоревка АО ""ВРК-3"""
232,"Сервисное отделение Ужур Сервисного локомотивного депо ""Ачинск"" филиала ""Восточно-Сибирский"" Общества с ограниченной ответственностью ""ЛокоТех-Сервис""","СО Ужур СЛД Ачинск ф. Восточно-Сибирский ООО ""ЛокоТех-Сервис"""
236,Локомотивное депо Вологда,Вологда-ТЧ
242,Локомотивное депо Тернополь,Тернополь-ТЧ
243,Локомотивное депо Шевченко,Шевченко-ТЧ
246,"Сервисное локомотивное депо ""Иваново"" филиала ""Северный"" общества с ограниченной ответственностью ""ЛокоТех-Сервис""","СЛД ""Иваново"" филиала ""Северный"" ""ЛокоТех-Сервис"""
247,Локомотивное депо Рязань,Рязань-ТЧ
250,Локомотивное депо Основа,Основа-ТЧ
253,"Сервисное локомотивное депо ""Россошь-Пассажирская"" филиала ""Южный"" общества с ограниченной ответственностью ""ЛокоТех-Сервис""","СЛД Россошь-Пассажирская филиала ""Южный"" ООО ""ЛокоТех-Сервис"
254,"Сервисное локомотивное депо ""Ртищево"" филиала ""Южный"" общества с ограниченной ответственностью ""ЛокоТех-Сервис""","СЛД Ртищево филиала ""Южный"" ООО ""ЛокоТех-Сервис"""
255,Новохопёрский ремонтно-механический завод,Новохопёрский РМЗ
257,"Сервисное локомотивное депо ""Сарепта"" филиала ""Южный"" Общества с ограниченной ответственностью ""ЛокоТех-Сервис""","СЛД Сарепта ООО ""ЛокоТех-Сервис"""
263,Ижорский завод,Ижорский завод
264,Кременчугский мостовой завод,Кременчугский мостовой завод
269,"Сервисное локомотивное депо ""Минеральные Воды-Грузовые"" филиала ""Северо-Кавказский"" Общества с ограниченной ответственностью ""ТМХ-Сервис""","СЛД Минеральные Воды-Грузовые ООО ""ТМХ-Сервис"""
272,"Московский механанический завод ""Красный путь""","Завод ""Красный путь"""
274,Новосибирский стрелочный завод,Новосибирский СЗ
275,"Акционерное общество ""Петуховский литейно-механический завод""","АО ""Петуховский ЛМЗ"""
276,Муромский стрелочный завод,Муромский СЗ
277,Беловский сталепрокатный завод,Беловский СПЗ
278,Днепропетровский стрелочный завод,Днепропетровский СЗ
281,Коршуновский литейно-механический завод,Коршуновский-ЛМЗ
283,Ишимский механический завод,Ишимский МЗ
287,Механические мастерские Оренбург-2,Оренбург-2 мех.мастерские
292,Моторвагонное депо Санкт-Петербург-Московский,Санкт-Петербург-Московский-ЭВЧД
293,Локомотивное депо Аткарск,Аткарск-ТЧ
294,Алматинский электромеханический завод,Алматинский ЭМЗ
297,Локомотивное депо Ташкент,Ташкент-ТЧ
300,Локомотивное депо Конотоп,Конотоп-ТЧ
301,"Вагонное ремонтное депо Кочетовка – обособленное структурное подразделение акционерного общества ""Вагонная ремонтная компания-2","ВЧДр Кочетовка АО ""ВРК-2"""
303,"Вагонное ремонтное депо Рузаевка - ОСП акционерного общества ""Вагонная ремонтная компания-3""","ВЧДр Рузаевка АО ""ВРК-3"""
305,"Пассажиpское вагонное депо Тамбов Юго-Восточного филиала открытого акционерного общества ""Федеральная пассажирская компания""","ЛВЧД-14 Тамбов ОАО ""ФПК"""
307,"Вагонное ремонтное депо Рыбное - обособленное структурное подразделение акционерного общества ""Вагонная ремонтная компания-1""","ВЧДр Рыбное АО ""ВРК-1"""
308,"Вагонное ремонтное депо Сасово - обособленное структурное подразделение Акционерного общества ""Вагонная ремонтная компания-3""","ВЧДр Сасово ОАО ""ВРК-3"""
309,"Вагонное ремонтное депо Воскресенск - обособленное структурное подразделение акционерного общества ""Вагонная ремонтная компания-1""","ВЧДр Воскресенск АО ""ВРК-1"""
310,"Вагонное ремонтное депо Ряжск - ОСП акционерного общества ""Вагонная ремонтная компания-2""","ВЧДр Ряжск АО ""ВРК-2"""
311,"Общество с ограниченной ответственностью ""Вагонно - Ремонтный Центр"" в г.Моршанск","ООО ""ВРЦ"" Моршанск"
312,"Эксплуатационное вагонное депо Перово-структурное подразделение Московской дирекции инфраструктуры-структурного подразделения Центральной дирекции инфраструктуры-филиала ОАО ""РЖД""","ВЧДЭ-5 Перово ОАО ""РЖД"""
314,"Пассажирское вагонное депо Николаевка - ОСП Московского филиала акционерного общества ""Федеральная пассажирская компания""","ЛВЧД-4 Николаевка АО ""ФПК"""
315,"Пассажирское вагонное депо Санкт-Петербург-Товарный-Московский Северо-Западного филиала акционерного общества ""Федеральная пассажирская компания""","ЛВЧД Спб-Московский АО ""ФПК"""
316,Вагонное депо Ховрино,Ховрино-ВЧД
317,Вагонное депо Тверь,ВЧД-14 Тверь
318,"Пассажирское вагонное депо Москва Северо-Западного филиала акционерного общества ""Федеральная пассажирская компания""","ЛВЧД-1 Москва АО ""ФПК"""
319,"Вагонное ремонтное депо Бологое - обособленное структурное подразделение открытого акционерного общества ""Вагонная ремонтная компания-3""","ВЧДр Бологое ОАО ""ВРК-3"""
320,Вагонное депо Малая Вишера,ВЧД Малая Вишера
321,"Вагонное ремонтное депо Санкт-Петербург-Московский-Сортировочный - обособленное структурное подразделение акционерного общества ""Вагонная ремонтная компания-1""","ВЧДр Спб-Мск-Сортировочный АО ""ВРК-1"""
322,Вагонное депо Санкт-Петербург-Финляндский,Санкт-Петербург-Финляндский ВЧД
323,"Вагонное ремонтное депо Санкт-Петербург-Сортировочный-Витебский - ОСП акционерного общества ""Вагонная ремонтная компания-2""","ВЧДр Санкт-Пет.-Сорт.-Вит. АО ""ВРК-2"""
324,"Ремонтно-сервисный участок станции Предпортовая Забайкальского филиала Акционерного общества ""Калужский завод"" ""Ремпутьмаш""","РСУ ст. Предпортовая АО ""КЗ"" РПМ"""
326,Вагонное депо Дно,Дно-ВЧД
328,"Вагонное ремонтное депо Псков - обособленное структурное подразделение акционерного общества ""Вагонная ремонтная компания-1""","ВЧДр Псков АО ""ВРК-1"""
329,Пассажирское вагонное депо Санкт-Петербург-Витебский,Санкт-Петербург-Витебский ЛВЧД
330,"Пассажирский вагонный участок Санкт-Петербург-Витебский Северо-Западного филиала открытого акционерного общества ""Федеральная пассажирская компания""","ЛВЧД Спб-Витебский ОАО ""ФПК"""
331,"Пассажирский вагонный участок Москва-Каланчевская - ОСП Московского филиала Открытого акционерного общества ""Федеральная пассажирская компания""","ЛВЧ-1 Москва-Каланчевская ОАО ""ФПК"""
332,"Пассажирское вагонное депо Орехово-Зуево - СП Московского филиала акционерного общества ""Федеральная пассажирская компания""","ЛВЧД-3 Орехово-Зуево АО ""ФПК"""
333,"Вагонное ремонтное депо Люблино – обособленное структурное подразделение акционерного общества ""Вагонная ремонтная компания-1""","ВЧДр Люблино АО ""ВРК-1"""
334,"Вагонное ремонтное депо Тула - обособленное структурное подразделение открытого акционерного общества ""Вагонная ремонтная компания-3""","ВЧДр Тула ОАО ""ВРК-3"""
335,"Обособленное предприятие Акционерного общества ""Объединенная вагоноремонтная компания"" г. Орел","ОП АО ""ОВРК"" г. Орел"
336,"Вагонное ремонтное депо Курск – обособленное структурное подразделение акционерного общества ""Вагонная ремонтная компания-2""","ВЧДр Курск АО ""ВРК-2"""
340,"Вагонный участок Адлер структурное подразделение Северо-Кавказского филиала акционерного общества ""Федеральная пассажирская компания""","ВУ Адлер СП Сверо-Кавказского филиала АО ""ФПК"""
341,"Вагонное ремонтное депо Волховстрой - обособленное структурное подразделение акционерного общества ""Вагонная ремонтная компания-2""","ВЧДр Волховстрой АО ""ВРК-2"""
343,"Вагонное ремонтное депо Петрозаводск – обособленное структурное подразделение акционерного общества ""Вагонная ремонтная компани-1""","ВРД Петрозаводск АО ""ВРК-1"""
344,"Вагонное ремонтное депо Кемь - обособленное структурное подразделение акционерного общества ""Вагонная ремонтная компания-3""","ВЧДр Кемь АО ""ВРК-3"""
345,"Вагонное ремонтное депо Мурманск - обособленное структурное подразделение акционерного общества ""Вагонная ремонтная компания-2""","ВЧДр Мурманск АО ""ВРК-2"""
346,Вагонное депо Хвойная,Хвойная-ВЧД
347,"Вагонное ремонтное депо Кандалакша - обособленное структурное подразделение акционерного общества ""Вагонная ремонтная компания-1""","ВЧДр Кандалакша АО ""ВРК-1"""
348,"Пассажирское вагонное депо Москва-Смоленская - ОСП Московского филиала Открытого акционерного общества ""Федеральная пассажирская компания""","ЛВЧД-14 Москва-Смоленская ОАО ""ФПК"""
349,Вагонное депо Москва-Рижская,ВЧД Москва-Рижская
350,Вагонное рефрижераторное депо Подмосковная,Подмосковная-ВЧД реф.
351,Вагонное депо Ржев,Ржев-ВЧД
352,Пассажирское депо Великие Луки,Великие Луки-ЛВЧД
354,"Вагонные колесные мастерские Новосокольники-обособленный производственный участок вагонного ремонтного депо Псков - ОСП акционерного общества ""Вагонная ремонтная компания-1""","ВКМ Новосокольники АО ""ВРК-1"""
356,"Гомельское вагонное депо РУП ""Гомельское отделение Белорусской железной дороги"" (эксплуатационное)",ВЧДЭ Гомель
357,"Вагонное ремонтное депо Унеча-филиал общества с ограниченной ответственностью ""Новая вагоноремонтная компания""","ВЧД Унеча-ООО ""НВК"""
358,"Жлобинское вагонное депо РУП ""Гомельское отделение Белорусской железной дороги""",ВЧД Жлобин
359,"Осиповичское вагонное депо РУП ""Могилевское отделение Белорусской железной дороги"" (эксплуатационноне)",ВЧДЭ Осиповичи
360,"Могилевское вагонное депо РУП ""Могилевское отделение Белорусской железной дороги""",ВЧД Могилев
362,"Полоцкое вагонное депо УП ""Витебское отделение Белорусской железной дороги""",ВЧД Полоцк
365,"Общество с ограниченной ответственностью ""Владимирское вагонное депо""","ООО ""Владимирское вагонное депо"""
366,"Пассажирское вагонное депо Горький-Московский Горьковского филиала акционерного общества ""Федеральная пассажирская компания""","ЛВЧД Горький-Московский АО ""ФПК"""
367,"Пассажирское вагонное депо Киров - структурное подразделение Горьковского филиала акционерного общества ""Федеральная пассажирская компания""","ЛВЧД-7 Киров АО ""ФПК"""
368,"Вагонное ремонтное депо Зуевка – обособленное структурное подразделение акционерного общества ""Вагонная ремонтная компания-2""","ВЧДр Зуевка АО ""ВРК-2"""
369,"Вагонное ремонтное депо Шахунья - обособленное структурное подразделение акционерного общества ""Вагонная ремонтная компания-3""","ВЧДр Шахунья АО ""ВРК-3"""
370,"Вагонное ремонтное депо Лянгасово - обособленное структурное подразделение акционерного общества ""Вагонная ремонтная компания-1""","ВЧДр Лянгасово АО ""ВРК-1"""
371,"Вагонное ремонтное депо Горький-Сортировочный - обособленное структурное подразделение акционерного общества ""Вагонная ремонтная компания-1""","ВЧДр Горький-Сортировочный АО ""ВРК-1"""
372,"Пассажирское вагонное депо Котлас - структурное подразделение Северного филиала акционерного общества ""Федеральная пассажирская компания""","ЛВЧД-12 Котлас АО ""ФПК"""
373,Пассажирское вагонное депо Тумская,Тумская-ЛВЧД
375,"Пассажирское вагонное депо Москва-3 - структурное подразделение Московского филиала акционерного общества ""Федеральная пассажирская компания""","ЛВЧД-7 Москва-3 АО ""ФПК"""
377,Вагонное депо Александров,Александров-ВЧД
